"id","codigo_barra","nombre","categoria","subcategoria","precio","descripcion","imagen","oferta","nuevo","mas_vendido","marca","unidad_medida","stock","estado"
,77306197,"MANTECA CONAPROLE 200G","LACTEOS",,"109.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,77306456,"MANTECA CONAPROLE C/SAL 200G","SNACKS/DULCES",,"109.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,258,"MAPLE HUEVOS","SNACKS/DULCES",,"301.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730974840366,"MASAS EMYLIA","SNACKS/DULCES",,"195.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7732883698724,"MASAS SURTIDAS LA COLONIA","SNACKS/DULCES",,"245.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730132000731,"MAYONESA URUGUAY 125 CC","ALMACEN",,"32.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","si","no",,,,
,7730132000779,"MAYONESA URUGUAY 500 CC","ALMACEN",,"95.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","si","si",,,,
,44,"MEDIA LUNA JAMON Y QUESO","ROTISERIA",,"105.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","si","si",,,,
,69856320147,"MILANESA AL PAN DE POLLO/CARNE","ROTISERIA",,"170.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,43,"MILANESA DE CARNE","ROTISERIA",,"170.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,42,"MILANESA DE POLLO","ROTISERIA",,"170.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7622300990152,"MILKA 155 GR LECHE/ALMEND/CAST","LACTEOS",,"135.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,70847038627,"MONSTER ENERGY MANGO LOCO","BEBIDAS SIN ALCOHOL",,"113.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730289001124,"NIX COLA 2.5 LITROS","BEBIDAS SIN ALCOHOL",,"141.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,25,"NUGGETS","ALMACEN",,"300.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/25761.gif","no","no","no",,,,
,7730197007867,"PACK VITALE 1.75L X 4","BEBIDAS SIN ALCOHOL",,"160.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7730197007867.jpg","no","no","no",,,,
,7730911980100,"PAN DE VIENA X 8 PAGNIFIQUE","PANADERIA",,"110.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,123654789,"PAN FELIPE","PANADERIA",,"30.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,47896574147,"PAN FLAUTA","PANADERIA",,"62.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730117007557,"PAN LACTEADO SORCHANT 480G ","PANADERIA",,"130.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,1789654125,"PAN MANTECA","PANADERIA",,"70.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730117001135,"PAN VIENA X 8 LOS SORCHANTES","PANADERIA",,"118.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","si",,,,
,36,"PANCETA DOÑA COCA","PANADERIA",,"563.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730138003019,"PANCHOS SCHNECK LARGOS 8U","FIAMBRERIA",,"375.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730138003026,"PANCHOS SCHNEK CORTOS 8U","FIAMBRERIA",,"250.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7790310982426,"PAPAS LAYS 95G","SNACKS/DULCES",,"140.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7802000017155,"PAPAS RUFFLES 85G","SNACKS/DULCES",,"140.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730246000016,"PAPEL ATALA","TABACO",,"50.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/tabaco.png","no","no","no",,,,
,7730452003740,"PATRICIA 473ML","BEBIDAS ALCOHOLICAS",,"105.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7730452003740.jpg","no","no","no",,,,
,7730452006055,"PATRICIA 340ML S/GLUTEN","BEBIDAS ALCOHOLICAS",,"65.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7734284114087,"PEPSI 1.5 L","BEBIDAS SIN ALCOHOL",,"135.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7734284002070,"PEPSI BLACK 1.5L","BEBIDAS SIN ALCOHOL",,"135.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7734284002315,"PEPSI BLACK X 2 L DESCARTABLE","BEBIDAS SIN ALCOHOL",,"140.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7734284002315.jpg","no","no","no",,,,
,7734284002353,"PEPSI COLA X 2 LITROS DESCARTA","BEBIDAS SIN ALCOHOL",,"140.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7734284002353.jpg","no","no","no",,,,
